,City,Lat,Long,Humidity,Pressure,Temp,Temp Max,Temp Min,Clouds,Wind
0,Caluquembe,-13.78,14.68,90,857.19,287.09,287.09,287.09,20,0.41
1,Victoria,5.28,115.24,83,1012.0,301.15,301.15,301.15,75,3.6
2,Punta Arenas,-53.16,-70.91,86,993.0,277.15,277.15,277.15,40,7.2
3,Mataura,-46.19,168.86,56,1016.47,300.19,300.19,300.19,0,8.86
4,Hobart,-42.88,147.33,26,1003.0,300.15,300.15,300.15,0,7.2
5,Tuktoyaktuk,69.44,-133.03,84,1015.0,257.15,257.15,257.15,90,3.6
6,Rikitea,-23.12,-134.97,100,1029.93,300.115,300.115,300.115,0,5.36
7,Buala,-8.15,159.59,82,1011.28,303.515,303.515,303.515,64,4.11
8,Namatanai,-3.66,152.44,93,1015.34,303.09,303.09,303.09,36,3.76
9,Sijunjung,-0.69,100.95,96,964.92,295.19,295.19,295.19,92,1.21
10,Ushuaia,-54.81,-68.31,75,987.0,279.15,279.15,279.15,40,12.9
11,Thabazimbi,-24.59,27.41,92,899.18,288.315,288.315,288.315,0,1.06
12,Vaini,15.34,74.49,82,1020.0,289.15,289.15,289.15,0,2.1
13,Vestmannaeyjar,63.44,-20.27,100,1009.18,267.99,267.99,267.99,0,4.11
14,Upernavik,72.79,-56.15,99,1021.66,258.615,258.615,258.615,56,2.36
15,Ribeira Grande,38.52,-28.7,100,1036.98,289.565,289.565,289.565,68,3.86
16,Brynmawr,51.8,-3.17,96,996.0,273.32,275.15,271.15,12,2.1
17,Busselton,-33.64,115.35,91,1028.31,294.065,294.065,294.065,0,6.46
18,Beringovskiy,63.05,179.32,84,1024.58,258.465,258.465,258.465,24,5.46
19,Hermanus,-34.42,19.24,95,987.37,289.915,289.915,289.915,68,0.61
20,Qaanaaq,77.48,-69.36,81,992.72,250.365,250.365,250.365,0,4.61
21,Egvekinot,66.32,-179.17,32,982.67,242.765,242.765,242.765,8,1.36
22,Riesa,51.3,13.31,92,1000.0,270.48,271.15,270.15,0,3.1
23,Nishihara,35.74,139.53,48,1025.0,279.28,280.15,278.75,75,2.1
24,Dunedin,-45.87,170.5,64,992.96,298.165,298.165,298.165,12,2.46
25,Nuevo Casas Grandes,30.42,-107.91,80,851.84,277.165,277.165,277.165,88,0.76
26,Butaritari,3.07,172.79,100,1019.88,301.615,301.615,301.615,36,7.26
27,Comodoro Rivadavia,-45.87,-67.48,31,1006.0,289.15,289.15,289.15,0,9.8
28,Pushkino,56.01,37.85,100,1012.0,269.15,269.15,269.15,90,4.0
29,Mount Gambier,-37.83,140.78,11,1004.0,306.15,306.15,306.15,32,5.7
30,Ojinaga,29.56,-104.41,33,1018.0,283.85,283.85,283.85,1,2.6
31,Sorada,19.76,84.43,70,1008.77,289.99,289.99,289.99,0,1.96
32,Arlit,18.74,7.39,34,974.56,280.09,280.09,280.09,0,1.51
33,Pali,25.77,73.33,61,1009.42,280.565,280.565,280.565,12,1.26
34,Bayir,37.27,28.22,81,1007.0,284.15,284.15,284.15,75,5.1
35,Bredasdorp,-34.53,20.04,78,1012.0,295.15,295.15,295.15,92,3.1
36,Wilmington,39.75,-75.55,92,1012.0,273.6,274.85,272.05,90,3.1
37,Sarandi,-27.94,-52.92,77,961.43,296.615,296.615,296.615,0,2.71
38,Damietta,31.42,31.81,81,1013.0,285.15,285.15,285.15,0,3.1
39,Longyearbyen,78.22,15.63,68,1009.0,271.15,271.15,271.15,75,12.3
40,Terra Santa,-2.1,-56.49,89,1020.69,298.59,298.59,298.59,64,1.21
41,Cockburn Town,21.46,-71.14,99,1029.93,298.915,298.915,298.915,20,4.46
42,Daru,7.99,-10.85,56,993.21,299.965,299.965,299.965,24,4.66
43,Provideniya,64.42,-173.23,56,1017.0,263.15,263.15,263.15,0,10.0
